variant,token,correct,missing,substituted,total,error_rate
whisper-small,number,472,20,28,520,0.09230769230769231
whisper-large-v3-turbo,side,177,14,4,195,0.09230769230769231
whisper-large-v3-turbo,evolution,118,9,3,130,0.09230769230769231
GPT-4o mini Transcribe,primarily,246,9,16,271,0.09225092250922506
whisper-large-v3-turbo,9,1291,91,40,1422,0.09212376933895916
whisper-small,maturity,69,4,3,76,0.09210526315789469
GPT-4o mini Transcribe,stronger,69,3,4,76,0.09210526315789469
GPT-4o mini Transcribe,300,217,19,3,239,0.09205020920502094
whisper-large-v3-turbo,23,257,6,20,283,0.09187279151943462
whisper-large-v3-turbo,mostly,89,9,0,98,0.09183673469387754
whisper-large-v3-turbo,let,178,15,3,196,0.09183673469387754
whisper-small,time,445,31,14,490,0.09183673469387754
GPT-4o mini Transcribe,let,178,15,3,196,0.09183673469387754
whisper-small,cost,1810,89,94,1993,0.0918213748118415
whisper-large-v3-turbo,net,3546,224,134,3904,0.09170081967213117
whisper-small,what,674,48,20,742,0.09164420485175206
whisper-large-v3-turbo,ebitda,1923,124,70,2117,0.09163911195087393
GPT-4o mini Transcribe,conference,119,0,12,131,0.09160305343511455
whisper-large-v3-turbo,improve,119,6,6,131,0.09160305343511455
GPT-4o mini Transcribe,tons,119,0,12,131,0.09160305343511455
whisper-large-v3-turbo,contributed,129,7,6,142,0.09154929577464788
whisper-large-v3-turbo,generation,159,12,4,175,0.09142857142857141
whisper-large-v3-turbo,been,607,32,29,668,0.0913173652694611
whisper-large-v3-turbo,it,1465,85,62,1612,0.09119106699751856
whisper-small,looking,309,25,6,340,0.0911764705882353
whisper-large-v3-turbo,high,369,30,7,406,0.09113300492610843
whisper-large-v3-turbo,conference,120,6,6,132,0.09090909090909094
GPT-4o mini Transcribe,12.5,60,3,3,66,0.09090909090909094
whisper-large-v3-turbo,losses,60,3,3,66,0.09090909090909094
whisper-small,conference,120,3,9,132,0.09090909090909094
whisper-small,gigawatts,60,0,6,66,0.09090909090909094
whisper-large-v3-turbo,advances,60,0,6,66,0.09090909090909094
GPT-4o mini Transcribe,expanded,60,6,0,66,0.09090909090909094
GPT-4o mini Transcribe,talk,70,1,6,77,0.09090909090909094
GPT-4o mini Transcribe,125,60,6,0,66,0.09090909090909094
whisper-large-v3-turbo,operation,120,9,3,132,0.09090909090909094
whisper-small,60,330,16,17,363,0.09090909090909094
whisper-small,times,390,21,18,429,0.09090909090909094
whisper-small,losses,60,3,3,66,0.09090909090909094
GPT-4o mini Transcribe,such,80,3,5,88,0.09090909090909094
whisper-small,greater,60,3,3,66,0.09090909090909094
whisper-large-v3-turbo,improved,321,7,25,353,0.09065155807365444
GPT-4o mini Transcribe,recorded,241,15,9,265,0.09056603773584904
whisper-large-v3-turbo,related,442,8,36,486,0.09053497942386834
whisper-large-v3-turbo,period,794,49,30,873,0.0904925544100802
GPT-4o mini Transcribe,based,312,15,16,343,0.09037900874635574
GPT-4o mini Transcribe,barrels,151,12,3,166,0.09036144578313254
whisper-small,related,434,22,21,477,0.09014675052410903
GPT-4o mini Transcribe,theres,101,1,9,111,0.09009009009009006
whisper-small,set,101,3,7,111,0.09009009009009006
whisper-large-v3-turbo,towards,101,9,1,111,0.09009009009009006
whisper-large-v3-turbo,2.5,202,11,9,222,0.09009009009009006
whisper-small,through,374,18,19,411,0.09002433090024331
GPT-4o mini Transcribe,software,91,9,0,100,0.08999999999999997
whisper-small,going,445,24,20,489,0.08997955010224945
GPT-4o mini Transcribe,increase,1984,114,82,2180,0.0899082568807339
GPT-4o mini Transcribe,21,729,34,38,801,0.0898876404494382
GPT-4o mini Transcribe,40,405,21,19,445,0.0898876404494382
whisper-small,term,365,25,11,401,0.08977556109725682
GPT-4o mini Transcribe,committed,71,6,1,78,0.08974358974358976
whisper-large-v3-turbo,continuing,71,6,1,78,0.08974358974358976
whisper-large-v3-turbo,out,416,19,22,457,0.0897155361050328
whisper-small,this,3767,196,175,4138,0.0896568390526824
GPT-4o mini Transcribe,19,589,18,40,647,0.08964451313755795
whisper-small,have,2196,150,66,2412,0.08955223880597019
whisper-large-v3-turbo,sector,61,6,0,67,0.08955223880597019
GPT-4o mini Transcribe,pandemic,183,15,3,201,0.08955223880597019
GPT-4o mini Transcribe,started,61,3,3,67,0.08955223880597019
whisper-small,sector,61,3,3,67,0.08955223880597019
whisper-large-v3-turbo,general,122,12,0,134,0.08955223880597019
GPT-4o mini Transcribe,perspective,61,0,6,67,0.08955223880597019
whisper-large-v3-turbo,34,122,9,3,134,0.08955223880597019
whisper-small,started,61,3,3,67,0.08955223880597019
GPT-4o mini Transcribe,30,763,42,33,838,0.08949880668257759
whisper-small,those,275,15,12,302,0.08940397350993379
whisper-small,record,265,19,7,291,0.0893470790378007
whisper-small,and,14672,926,513,16111,0.08931785736453357
whisper-large-v3-turbo,quality,51,4,1,56,0.0892857142857143
GPT-4o mini Transcribe,thats,756,51,23,830,0.08915662650602407
GPT-4o mini Transcribe,32,92,3,6,101,0.08910891089108908
whisper-large-v3-turbo,ended,174,7,10,191,0.08900523560209428
whisper-small,as,3246,183,134,3563,0.08896996912714006
whisper-large-v3-turbo,expect,830,53,28,911,0.0889132821075741
whisper-small,9,1282,89,36,1407,0.08884150675195446
whisper-small,44,154,10,5,169,0.08875739644970415
whisper-large-v3-turbo,51,154,7,8,169,0.08875739644970415
whisper-large-v3-turbo,consecutive,72,4,3,79,0.08860759493670889
GPT-4o mini Transcribe,annual,494,23,25,542,0.08856088560885611
whisper-small,margin,2460,151,88,2699,0.0885513153019637
whisper-large-v3-turbo,capital,1472,84,59,1615,0.08854489164086687
whisper-small,ended,175,11,6,192,0.08854166666666663
whisper-small,operational,103,4,6,113,0.08849557522123896
whisper-small,be,1763,102,69,1934,0.08841778697001035
whisper-large-v3-turbo,paid,196,12,7,215,0.08837209302325577
GPT-4o mini Transcribe,prices,196,10,9,215,0.08837209302325577
GPT-4o mini Transcribe,lower,588,30,27,645,0.08837209302325577
whisper-small,grew,815,30,49,894,0.0883668903803132
whisper-large-v3-turbo,million,9031,549,326,9906,0.0883303048657379
whisper-small,guiding,62,0,6,68,0.08823529411764708
GPT-4o mini Transcribe,looking,310,23,7,340,0.08823529411764708
whisper-large-v3-turbo,39,62,3,3,68,0.08823529411764708
GPT-4o mini Transcribe,youre,186,15,3,204,0.08823529411764708
whisper-small,fy21,93,9,0,102,0.08823529411764708
GPT-4o mini Transcribe,provision,62,3,3,68,0.08823529411764708
whisper-small,from,3745,213,148,4106,0.08792011690209445
GPT-4o mini Transcribe,53,83,4,4,91,0.08791208791208793
whisper-large-v3-turbo,given,249,24,0,273,0.08791208791208793
GPT-4o mini Transcribe,25,467,25,20,512,0.087890625
whisper-small,which,2242,111,105,2458,0.08787632221318142
whisper-small,1.9,135,12,1,148,0.08783783783783783
whisper-large-v3-turbo,key,187,12,6,205,0.08780487804878045
whisper-small,access,52,5,0,57,0.08771929824561409
whisper-small,gains,156,8,7,171,0.08771929824561409
whisper-small,more,936,67,23,1026,0.08771929824561409
whisper-small,0.8,52,4,1,57,0.08771929824561409
whisper-small,well,749,44,28,821,0.08769792935444576
whisper-small,on,5807,335,222,6364,0.08752357008170963
whisper-small,statement,73,4,3,80,0.08750000000000002
GPT-4o mini Transcribe,statement,73,7,0,80,0.08750000000000002
whisper-large-v3-turbo,statement,73,4,3,80,0.08750000000000002
GPT-4o mini Transcribe,90,167,12,4,183,0.08743169398907102
whisper-large-v3-turbo,core,261,19,6,286,0.0874125874125874
whisper-large-v3-turbo,use,94,3,6,103,0.08737864077669899
GPT-4o mini Transcribe,use,94,3,6,103,0.08737864077669899
GPT-4o mini Transcribe,good,491,25,22,538,0.08736059479553904
whisper-large-v3-turbo,cost,1819,83,91,1993,0.08730556949322632
whisper-small,months,1328,100,27,1455,0.08728522336769762
whisper-small,our,6873,379,278,7530,0.08725099601593622
whisper-large-v3-turbo,35,262,16,9,287,0.08710801393728218
whisper-large-v3-turbo,5,1174,88,24,1286,0.08709175738724728
whisper-large-v3-turbo,average,619,34,25,678,0.08702064896755157
GPT-4o mini Transcribe,0.3,63,6,0,69,0.08695652173913049
whisper-large-v3-turbo,cagr,63,6,0,69,0.08695652173913049
whisper-large-v3-turbo,0.3,63,3,3,69,0.08695652173913049
whisper-large-v3-turbo,management,231,18,4,253,0.08695652173913049
whisper-small,125,63,3,3,69,0.08695652173913049
whisper-large-v3-turbo,account,126,3,9,138,0.08695652173913049
whisper-large-v3-turbo,luminex,63,3,3,69,0.08695652173913049
whisper-small,enterprise,63,6,0,69,0.08695652173913049
whisper-small,again,347,12,21,380,0.08684210526315794
whisper-small,approximately,653,34,28,715,0.08671328671328671
GPT-4o mini Transcribe,4.5,158,6,9,173,0.08670520231213874
whisper-small,in,16610,1044,531,18185,0.08660984327742649
whisper-large-v3-turbo,0.6,95,9,0,104,0.08653846153846156
whisper-small,0.6,95,9,0,104,0.08653846153846156
whisper-large-v3-turbo,same,602,38,19,659,0.08649468892261003
whisper-large-v3-turbo,more,940,62,27,1029,0.08649173955296408
whisper-large-v3-turbo,amount,169,9,7,185,0.08648648648648649
whisper-small,amount,169,13,3,185,0.08648648648648649
whisper-small,do,275,17,9,301,0.08637873754152825
whisper-small,total,1217,62,53,1332,0.0863363363363363
GPT-4o mini Transcribe,55,127,4,8,139,0.08633093525179858
whisper-large-v3-turbo,recovery,127,9,3,139,0.08633093525179858
GPT-4o mini Transcribe,period,784,47,27,858,0.08624708624708621
whisper-large-v3-turbo,additional,159,8,7,174,0.08620689655172409
GPT-4o mini Transcribe,close,308,13,16,337,0.08605341246290799
whisper-large-v3-turbo,6,1052,69,30,1151,0.08601216333622941
whisper-large-v3-turbo,pre,1541,90,55,1686,0.08600237247924081
whisper-large-v3-turbo,when,469,16,28,513,0.08576998050682261
whisper-large-v3-turbo,long,224,17,4,245,0.08571428571428574
whisper-small,goes,64,0,6,70,0.08571428571428574
whisper-large-v3-turbo,goes,64,0,6,70,0.08571428571428574
whisper-small,profits,64,3,3,70,0.08571428571428574
whisper-small,consistent,64,6,0,70,0.08571428571428574
GPT-4o mini Transcribe,goes,64,3,3,70,0.08571428571428574
whisper-large-v3-turbo,63,64,6,0,70,0.08571428571428574
whisper-large-v3-turbo,those,278,9,17,304,0.08552631578947367
whisper-small,think,631,41,18,690,0.08550724637681162
GPT-4o mini Transcribe,related,428,11,29,468,0.0854700854700855
whisper-large-v3-turbo,of,20590,1117,807,22514,0.08545793728346807
whisper-small,26,225,16,5,246,0.08536585365853655
whisper-small,so,2872,181,87,3140,0.08535031847133756
whisper-large-v3-turbo,yes,118,8,3,129,0.0852713178294574
whisper-small,account,129,3,9,141,0.08510638297872342
GPT-4o mini Transcribe,both,312,24,5,341,0.08504398826979476
whisper-small,incremental,97,3,6,106,0.08490566037735847
whisper-large-v3-turbo,reflects,97,3,6,106,0.08490566037735847
whisper-large-v3-turbo,q4,453,36,6,495,0.08484848484848484
GPT-4o mini Transcribe,third,1468,88,48,1604,0.08478802992518708
whisper-small,youre,195,18,0,213,0.08450704225352113
whisper-small,healthy,65,6,0,71,0.08450704225352113
GPT-4o mini Transcribe,tl,195,9,9,213,0.08450704225352113
whisper-large-v3-turbo,consumer,65,6,0,71,0.08450704225352113
whisper-large-v3-turbo,youre,195,15,3,213,0.08450704225352113
whisper-small,basis,1127,38,66,1231,0.08448415922014618
whisper-small,across,206,12,7,225,0.08444444444444443
whisper-small,then,575,34,19,628,0.08439490445859876
whisper-large-v3-turbo,assets,217,13,7,237,0.08438818565400841
GPT-4o mini Transcribe,distribution,152,3,11,166,0.08433734939759041
whisper-small,targets,76,0,7,83,0.08433734939759041
GPT-4o mini Transcribe,still,315,21,8,344,0.08430232558139539
whisper-small,major,87,6,2,95,0.08421052631578951
whisper-large-v3-turbo,to,17007,957,605,18569,0.08411869244439663
whisper-large-v3-turbo,invested,98,6,3,107,0.08411214953271029
whisper-large-v3-turbo,32,98,0,9,107,0.08411214953271029
whisper-small,first,1764,113,49,1926,0.08411214953271029
whisper-small,400,109,6,4,119,0.08403361344537819
whisper-large-v3-turbo,400,109,10,0,119,0.08403361344537819
whisper-small,results,469,31,12,512,0.083984375
whisper-large-v3-turbo,results,469,23,20,512,0.083984375
GPT-4o mini Transcribe,consolidated,240,12,10,262,0.08396946564885499
whisper-large-v3-turbo,primarily,251,7,16,274,0.08394160583941601
GPT-4o mini Transcribe,core,262,18,6,286,0.08391608391608396
whisper-small,plus,535,40,9,584,0.08390410958904104
GPT-4o mini Transcribe,85,142,3,10,155,0.08387096774193548
GPT-4o mini Transcribe,represents,164,0,15,179,0.08379888268156421
whisper-large-v3-turbo,may,164,9,6,179,0.08379888268156421
whisper-large-v3-turbo,working,263,8,16,287,0.08362369337979092
whisper-large-v3-turbo,2023,263,24,0,287,0.08362369337979092
whisper-small,35,274,18,7,299,0.08361204013377932
whisper-large-v3-turbo,for,7356,389,282,8027,0.08359287405008098
whisper-large-v3-turbo,significant,395,27,9,431,0.08352668213457082
whisper-large-v3-turbo,versus,922,63,21,1006,0.08349900596421467
GPT-4o mini Transcribe,net,3572,201,124,3897,0.0833974852450603
whisper-small,0.3,66,6,0,72,0.08333333333333337
whisper-small,give,176,4,12,192,0.08333333333333337
whisper-large-v3-turbo,orders,121,0,11,132,0.08333333333333337
GPT-4o mini Transcribe,160,99,6,3,108,0.08333333333333337
GPT-4o mini Transcribe,aim,66,6,0,72,0.08333333333333337
GPT-4o mini Transcribe,common,66,3,3,72,0.08333333333333337
GPT-4o mini Transcribe,250,77,7,0,84,0.08333333333333337
GPT-4o mini Transcribe,an,2079,86,103,2268,0.08333333333333337
GPT-4o mini Transcribe,charges,88,1,7,96,0.08333333333333337
whisper-small,continues,143,13,0,156,0.08333333333333337
whisper-large-v3-turbo,showing,66,3,3,72,0.08333333333333337
whisper-large-v3-turbo,course,198,12,6,216,0.08333333333333337
GPT-4o mini Transcribe,0.2,66,3,3,72,0.08333333333333337
GPT-4o mini Transcribe,5,1156,76,29,1261,0.08326724821570186
whisper-large-v3-turbo,last,1883,90,81,2054,0.08325219084712754
whisper-large-v3-turbo,excluding,353,21,11,385,0.08311688311688314
whisper-small,even,254,9,14,277,0.0830324909747292
whisper-large-v3-turbo,even,254,9,14,277,0.0830324909747292
whisper-small,rate,939,52,33,1024,0.0830078125
whisper-large-v3-turbo,euros,1085,59,39,1183,0.08284023668639051
whisper-small,i,2248,135,68,2451,0.08282333741330072
whisper-large-v3-turbo,1.7,133,3,9,145,0.08275862068965523
whisper-small,1.7,133,0,12,145,0.08275862068965523
GPT-4o mini Transcribe,1.7,133,0,12,145,0.08275862068965523
whisper-large-v3-turbo,24,244,10,12,266,0.08270676691729328
whisper-large-v3-turbo,as,3274,176,119,3569,0.08265620622022973
whisper-large-v3-turbo,made,111,9,1,121,0.0826446280991735
whisper-large-v3-turbo,a,9392,497,348,10237,0.08254371397870475
whisper-small,can,601,37,17,655,0.08244274809160301
GPT-4o mini Transcribe,500,156,9,5,170,0.08235294117647063
whisper-small,contracted,78,3,4,85,0.08235294117647063
whisper-large-v3-turbo,contracted,78,3,4,85,0.08235294117647063
whisper-small,than,1226,75,35,1336,0.08233532934131738
whisper-large-v3-turbo,the,30128,1551,1149,32828,0.08224686243450707
GPT-4o mini Transcribe,release,67,0,6,73,0.0821917808219178
whisper-small,consumption,67,6,0,73,0.0821917808219178
whisper-large-v3-turbo,release,67,3,3,73,0.0821917808219178
whisper-small,tax,1039,57,36,1132,0.08215547703180215
whisper-small,look,380,18,16,414,0.08212560386473433
whisper-large-v3-turbo,through,380,24,10,414,0.08212560386473433
GPT-4o mini Transcribe,effective,179,12,4,195,0.08205128205128209
whisper-large-v3-turbo,give,179,7,9,195,0.08205128205128209
whisper-large-v3-turbo,expected,593,31,22,646,0.08204334365325072
GPT-4o mini Transcribe,value,280,18,7,305,0.08196721311475408
whisper-small,payments,112,7,3,122,0.08196721311475408
whisper-small,that,4795,255,173,5223,0.0819452421979705
whisper-small,interest,493,28,16,537,0.08193668528864062
whisper-small,company,258,16,7,281,0.08185053380782914
GPT-4o mini Transcribe,average,606,25,29,660,0.08181818181818179
whisper-large-v3-turbo,11,382,28,6,416,0.08173076923076927
whisper-small,nearly,169,9,6,184,0.08152173913043481
GPT-4o mini Transcribe,represented,124,3,8,135,0.08148148148148149
whisper-small,up,1975,126,49,2150,0.08139534883720934
GPT-4o mini Transcribe,without,79,1,6,86,0.08139534883720934
whisper-large-v3-turbo,75,192,13,4,209,0.08133971291866027
whisper-large-v3-turbo,now,1186,70,35,1291,0.0813323005422153
whisper-small,basically,113,10,0,123,0.08130081300813008
GPT-4o mini Transcribe,industrial,113,9,1,123,0.08130081300813008
whisper-large-v3-turbo,selling,113,10,0,123,0.08130081300813008
whisper-large-v3-turbo,where,260,7,16,283,0.08127208480565373
whisper-small,their,147,4,9,160,0.08125000000000004
GPT-4o mini Transcribe,finally,147,9,4,160,0.08125000000000004
GPT-4o mini Transcribe,their,147,7,6,160,0.08125000000000004
GPT-4o mini Transcribe,tax,1018,36,54,1108,0.08122743682310474
whisper-large-v3-turbo,page,249,13,9,271,0.08118081180811809
whisper-small,compare,68,3,3,74,0.08108108108108103
whisper-small,4.6,68,6,0,74,0.08108108108108103
whisper-small,are,1894,84,83,2061,0.08102862688015522
whisper-small,month,227,13,7,247,0.08097165991902833
whisper-small,june,193,12,5,210,0.080952380952381
whisper-small,has,875,40,37,952,0.08088235294117652
GPT-4o mini Transcribe,single,125,0,11,136,0.08088235294117652
GPT-4o mini Transcribe,asset,398,22,13,433,0.0808314087759815
whisper-large-v3-turbo,19,604,40,13,657,0.08066971080669716
whisper-large-v3-turbo,morning,171,12,3,186,0.08064516129032262
whisper-small,place,57,5,0,62,0.08064516129032262
whisper-large-v3-turbo,cash,2852,147,103,3102,0.08059316569954866
whisper-large-v3-turbo,annual,502,32,12,546,0.08058608058608063
whisper-large-v3-turbo,pay,80,6,1,87,0.08045977011494254
whisper-small,december,309,15,12,336,0.0803571428571429
whisper-large-v3-turbo,software,103,9,0,112,0.0803571428571429
GPT-4o mini Transcribe,120,103,6,3,112,0.0803571428571429
GPT-4o mini Transcribe,made,103,9,0,112,0.0803571428571429
GPT-4o mini Transcribe,q4,458,30,10,498,0.08032128514056225
whisper-large-v3-turbo,you,3664,180,140,3984,0.08032128514056225
whisper-large-v3-turbo,financial,504,20,24,548,0.08029197080291972
whisper-small,stock,298,12,14,324,0.08024691358024694
whisper-small,should,344,19,11,374,0.0802139037433155
whisper-large-v3-turbo,stood,172,6,9,187,0.0802139037433155
GPT-4o mini Transcribe,group,551,21,27,599,0.08013355592654425
whisper-small,charge,69,3,3,75,0.07999999999999996
whisper-large-v3-turbo,care,69,6,0,75,0.07999999999999996
whisper-large-v3-turbo,year,8569,469,276,9314,0.07998711616920762
whisper-small,q2,311,20,7,338,0.07988165680473369
whisper-large-v3-turbo,within,173,6,9,188,0.07978723404255317
GPT-4o mini Transcribe,again,346,12,18,376,0.07978723404255317
whisper-small,your,623,32,22,677,0.07976366322008865
whisper-large-v3-turbo,operational,104,3,6,113,0.07964601769911506
whisper-small,show,104,6,3,113,0.07964601769911506
whisper-large-v3-turbo,going,451,13,26,490,0.07959183673469383
GPT-4o mini Transcribe,economic,81,3,4,88,0.07954545454545459
whisper-large-v3-turbo,economic,81,3,4,88,0.07954545454545459
whisper-large-v3-turbo,support,81,7,0,88,0.07954545454545459
GPT-4o mini Transcribe,last,1841,103,56,2000,0.07950000000000002
whisper-large-v3-turbo,from,3752,205,119,4076,0.07948969578017662
whisper-large-v3-turbo,quarter,6233,304,234,6771,0.07945650568601392
whisper-large-v3-turbo,we,7925,404,280,8609,0.07945173655476823
whisper-large-v3-turbo,impact,533,27,19,579,0.07944732297063906
whisper-large-v3-turbo,and,14811,790,488,16089,0.07943315308595933
GPT-4o mini Transcribe,interest,464,16,24,504,0.07936507936507942
whisper-small,non,384,27,6,417,0.07913669064748197
whisper-large-v3-turbo,were,1862,72,88,2022,0.0791295746785361
whisper-small,me,291,22,3,316,0.07911392405063289
GPT-4o mini Transcribe,us,1143,54,44,1241,0.07896857373086219
GPT-4o mini Transcribe,build,70,3,3,76,0.07894736842105265
GPT-4o mini Transcribe,gain,105,6,3,114,0.07894736842105265
whisper-large-v3-turbo,maturity,70,3,3,76,0.07894736842105265
whisper-large-v3-turbo,x,70,4,2,76,0.07894736842105265
whisper-small,4.7,70,3,3,76,0.07894736842105265
whisper-large-v3-turbo,could,210,9,9,228,0.07894736842105265
GPT-4o mini Transcribe,x,70,1,5,76,0.07894736842105265
whisper-large-v3-turbo,representing,315,12,15,342,0.07894736842105265
GPT-4o mini Transcribe,want,70,3,3,76,0.07894736842105265
GPT-4o mini Transcribe,representing,315,12,15,342,0.07894736842105265
whisper-large-v3-turbo,negative,292,13,12,317,0.07886435331230279
GPT-4o mini Transcribe,expansion,199,8,9,216,0.07870370370370372
whisper-small,about,1475,80,46,1601,0.07870081199250467
GPT-4o mini Transcribe,levels,281,15,9,305,0.07868852459016396
GPT-4o mini Transcribe,3.1,82,0,7,89,0.0786516853932584
whisper-large-v3-turbo,3.1,82,0,7,89,0.0786516853932584
GPT-4o mini Transcribe,around,1137,43,54,1234,0.07860615883306321
GPT-4o mini Transcribe,cash,2828,111,130,3069,0.07852720755946563
GPT-4o mini Transcribe,very,963,49,33,1045,0.07846889952153113
whisper-small,something,141,3,9,153,0.07843137254901966
whisper-small,was,4560,226,162,4948,0.07841552142279706
whisper-small,over,2022,111,61,2194,0.07839562443026438
whisper-small,questions,200,13,4,217,0.07834101382488479
GPT-4o mini Transcribe,explained,106,3,6,115,0.07826086956521738
whisper-large-v3-turbo,its,1226,63,41,1330,0.07819548872180448
GPT-4o mini Transcribe,better,236,10,10,256,0.078125
whisper-small,book,118,7,3,128,0.078125
GPT-4o mini Transcribe,11.5,59,3,2,64,0.078125
whisper-small,had,720,27,34,781,0.07810499359795131
whisper-small,next,602,28,23,653,0.07810107197549765
whisper-large-v3-turbo,months,1358,84,31,1473,0.078071961982349
whisper-large-v3-turbo,what,685,35,23,743,0.07806191117092864
whisper-large-v3-turbo,looking,319,23,4,346,0.0780346820809249
GPT-4o mini Transcribe,will,1371,62,54,1487,0.07800941492938807
GPT-4o mini Transcribe,excluding,355,15,15,385,0.07792207792207795
whisper-large-v3-turbo,order,142,12,0,154,0.07792207792207795
whisper-small,available,71,1,5,77,0.07792207792207795
whisper-small,throughout,71,0,6,77,0.07792207792207795
whisper-large-v3-turbo,yield,71,6,0,77,0.07792207792207795
whisper-small,slightly,249,6,15,270,0.07777777777777772
whisper-small,1.5,178,3,12,193,0.07772020725388606
whisper-small,sales,3098,163,98,3359,0.07770169693361118
GPT-4o mini Transcribe,than,1199,66,35,1300,0.07769230769230773
whisper-large-v3-turbo,change,107,6,3,116,0.07758620689655171
whisper-small,2023,262,16,6,284,0.07746478873239437
GPT-4o mini Transcribe,stable,131,2,9,142,0.07746478873239437
whisper-small,down,882,60,14,956,0.07740585774058573
whisper-large-v3-turbo,about,1491,74,51,1616,0.07735148514851486
whisper-small,maybe,167,10,4,181,0.07734806629834257
whisper-small,reflecting,167,10,4,181,0.07734806629834257
whisper-small,amounted,179,12,3,194,0.07731958762886593
whisper-large-v3-turbo,regarding,191,3,13,207,0.07729468599033817
GPT-4o mini Transcribe,a,9324,334,447,10105,0.07728847105393366
whisper-small,see,824,45,24,893,0.07726763717805152
whisper-small,profit,1016,69,16,1101,0.07720254314259767
